submitted_county,nextstrain_value
Adams,Adams County IL
Alexander,Alexander County
Bond,Bond County
Boone,Boone County IL
Brown,Brown County IL
Bureau,Bureau County
Calhoun,Calhoun County IL
Carroll,Carroll County IL
Cass,Cass County IL
Champaign,Champaign County IL
Christian,Christian County IL
Clark,Clark County IL
Clay,Clay County IL
Clinton,Clinton County IL
Coles,Coles County IL
Cook,Cook County IL
Crawford,Crawford County IL
Cumberland,Cumberland County IL
De Witt,De Witt County
Dekalb,Dekalb County IL
DeWitt,DeWitt County IL
Douglas,Douglas County IL
Dupage,Dupage County
Edgar,Edgar County
Edwards,Edwards County
Effingham,Effingham County
Fayette,Fayette County IL
Ford,Ford County IL
Franklin,Franklin County IL
Fulton,Fulton County IL
Gallatin,Gallatin County IL
Greene,Greene County IL
Grundy,Grundy County IL
Hamilton,Hamilton County IL
Hancock,Hancock County IL
Hardin,Hardin County IL
Henderson,Henderson County IL
Henry,Henry County IL
Iroquois,Iroquois County
Jackson,Jackson County IL
Jasper,Jasper County IL
Jefferson,Jefferson County IL
Jersey,Jersey County IL
Jo Daviess,Jo Daviess County
Johnson,Johnson County IL
Kane,Kane County IL
Kankakee,Kankakee County
Kendall,Kendall County IL
Knox,Knox County IL
Lake,Lake County IL
LaSalle,LaSalle County IL
Lawrence,Lawrence County IL
Lee,Lee County IL
Livingston,Livingston County IL
Logan,Logan County IL
Macon,Macon County IL
Macoupin,Macoupin County
Madison,Madison County IL
Marion,Marion County IL
Marshall,Marshall County IL
Mason,Mason County IL
Massac,Massac County
McDonough,McDonough County
McHenry,McHenry County
McLean,McLean County IL
Menard,Menard County IL
Mercer,Mercer County IL
Monroe,Monroe County IL
Montgomery,Montgomery County IL
Morgan,Morgan County IL
Moultrie,Moultrie County
Ogle,Ogle County IL
Peoria,Peoria County
Perry,Perry County IL
Piatt,Piatt County
Pike,Pike County IL
Pope,Pope County
Pulaski,Pulaski County IL
Putnam,Putnam County IL
Randolph,Randolph County IL
Richland,Richland County IL
Rock Island,Rock Island County
Saline,Saline County IL
Sangamon,Sangamon County
Schuyler,Schuyler County IL
Scott,Scott County IL
Shelby,Shelby County IL
St. Clair,St. Clair County IL
Stephenson,Stephenson County IL
Tazewell,Tazewell County IL
Union,Union County IL
Vermilion,Vermilion County
Wabash,Wabash County
Warren,Warren County IL
Washington,Washington County IL
Wayne,Wayne County IL
White,White County
Whiteside,Whiteside County
Will,Will County IL
Williamson,Williamson County IL
Winnebago,Winnebago County IL
Woodford,Woodford County IL
